district,state,date,temp_max_c,temp_min_c,precip_mm,rain_mm
Bagalkote,Karnataka,2023-04-13,38.5,23.0,0.0,0.0
Bagalkote,Karnataka,2023-04-14,39.2,28.1,0.0,0.0
Bagalkote,Karnataka,2023-04-15,37.2,23.8,0.0,0.0
Bagalkote,Karnataka,2023-04-16,36.9,23.9,0.0,0.0
Bagalkote,Karnataka,2023-04-17,38.1,24.7,0.0,0.0
Bagalkote,Karnataka,2023-04-18,40.2,24.7,0.0,0.0
Bagalkote,Karnataka,2023-04-19,40.3,23.1,0.0,0.0
Bagalkote,Karnataka,2023-04-20,39.4,24.7,0.0,0.0
Bagalkote,Karnataka,2023-04-21,37.1,24.3,0.0,0.0
Bagalkote,Karnataka,2023-04-22,37.7,23.8,0.0,0.0
Bagalkote,Karnataka,2023-04-23,37.1,22.7,0.0,0.0
Bagalkote,Karnataka,2023-04-24,38.1,22.8,0.0,0.0
Bagalkote,Karnataka,2023-04-25,38.4,23.3,0.0,0.0
Bagalkote,Karnataka,2023-04-26,35.5,24.3,0.0,0.0
Bagalkote,Karnataka,2023-04-27,37.1,25.0,0.7,0.7
Bagalkote,Karnataka,2023-04-28,34.0,24.8,1.9,1.9
Bagalkote,Karnataka,2023-04-29,33.9,22.3,0.3,0.3
Bagalkote,Karnataka,2023-04-30,34.7,23.2,0.1,0.1
Bagalkote,Karnataka,2023-05-01,35.1,23.0,0.0,0.0
Bagalkote,Karnataka,2023-05-02,36.7,22.8,0.0,0.0
Bagalkote,Karnataka,2023-05-03,36.0,23.4,0.0,0.0
Bagalkote,Karnataka,2023-05-04,36.2,23.8,0.0,0.0
Bagalkote,Karnataka,2023-05-05,35.9,24.4,0.0,0.0
Bagalkote,Karnataka,2023-05-06,37.0,24.0,0.0,0.0
Bagalkote,Karnataka,2023-05-07,37.3,25.1,0.7,0.7
Bagalkote,Karnataka,2023-05-08,35.7,24.4,1.5,1.5
Bagalkote,Karnataka,2023-05-09,36.4,24.7,2.0,2.0
Bagalkote,Karnataka,2023-05-10,35.5,24.6,1.2,1.2
Bagalkote,Karnataka,2023-05-11,36.8,25.4,0.1,0.1
Bagalkote,Karnataka,2023-05-12,37.8,25.9,0.2,0.2
Bagalkote,Karnataka,2023-05-13,39.1,24.4,0.0,0.0
Bagalkote,Karnataka,2023-05-14,39.4,24.0,0.0,0.0
Bagalkote,Karnataka,2023-05-15,38.1,23.9,0.0,0.0
Bagalkote,Karnataka,2023-05-16,39.0,23.7,0.0,0.0
Bagalkote,Karnataka,2023-05-17,39.7,24.7,0.0,0.0
Bagalkote,Karnataka,2023-05-18,39.7,24.3,0.0,0.0
Bagalkote,Karnataka,2023-05-19,40.5,26.6,0.0,0.0
Bagalkote,Karnataka,2023-05-20,40.1,26.0,0.0,0.0
Bagalkote,Karnataka,2023-05-21,39.8,25.8,0.0,0.0
Bagalkote,Karnataka,2023-05-22,37.0,26.5,0.6,0.6
Bagalkote,Karnataka,2023-05-23,38.9,26.1,0.0,0.0
Bagalkote,Karnataka,2023-05-24,38.7,26.0,0.3,0.3
Bagalkote,Karnataka,2023-05-25,37.4,24.9,0.1,0.1
Bagalkote,Karnataka,2023-05-26,37.4,23.3,0.0,0.0
Bagalkote,Karnataka,2023-05-27,38.1,24.5,0.0,0.0
Bagalkote,Karnataka,2023-05-28,38.2,24.4,0.0,0.0
Bagalkote,Karnataka,2023-05-29,38.6,25.9,0.0,0.0
Bagalkote,Karnataka,2023-05-30,36.8,25.2,2.9,2.9
Bagalkote,Karnataka,2023-05-31,38.4,25.1,0.6,0.6
Bagalkote,Karnataka,2023-06-01,37.1,26.3,0.0,0.0
Bagalkote,Karnataka,2023-06-02,38.3,24.6,0.0,0.0
Bagalkote,Karnataka,2023-06-03,39.5,24.5,0.0,0.0
Bagalkote,Karnataka,2023-06-04,37.5,24.9,1.2,1.2
Bagalkote,Karnataka,2023-06-05,37.6,24.7,0.0,0.0
Bagalkote,Karnataka,2023-06-06,37.1,25.0,0.0,0.0
Bagalkote,Karnataka,2023-06-07,37.0,24.8,0.0,0.0
Bagalkote,Karnataka,2023-06-08,37.0,24.8,0.2,0.2
Bagalkote,Karnataka,2023-06-09,38.0,24.5,1.5,1.5
Bagalkote,Karnataka,2023-06-10,35.8,24.5,6.5,6.5
Bagalkote,Karnataka,2023-06-11,34.9,24.2,1.2,1.2
Bagalkote,Karnataka,2023-06-12,36.2,23.4,0.0,0.0
Bagalkote,Karnataka,2023-06-13,36.0,23.9,0.0,0.0
Bagalkote,Karnataka,2023-06-14,36.0,24.1,0.0,0.0
Bagalkote,Karnataka,2023-06-15,35.6,24.4,0.0,0.0
Bagalkote,Karnataka,2023-06-16,35.8,23.4,0.0,0.0
Bagalkote,Karnataka,2023-06-17,36.5,24.5,0.2,0.2
Bagalkote,Karnataka,2023-06-18,35.7,23.5,0.2,0.2
Bagalkote,Karnataka,2023-06-19,37.3,24.1,0.0,0.0
Bagalkote,Karnataka,2023-06-20,37.6,24.6,0.0,0.0
Bagalkote,Karnataka,2023-06-21,37.2,24.2,0.1,0.1
Bagalkote,Karnataka,2023-06-22,36.6,24.9,0.5,0.5
Bagalkote,Karnataka,2023-06-23,35.0,24.4,1.2,1.2
Bagalkote,Karnataka,2023-06-24,32.5,25.0,6.6,6.6
Bagalkote,Karnataka,2023-06-25,32.7,24.0,1.6,1.6
Bagalkote,Karnataka,2023-06-26,32.9,23.4,0.1,0.1
Bagalkote,Karnataka,2023-06-27,33.4,23.6,0.5,0.5
Bagalkote,Karnataka,2023-06-28,32.6,23.7,10.4,10.4
Bagalkote,Karnataka,2023-06-29,32.0,24.0,2.9,2.9
Bagalkote,Karnataka,2023-06-30,32.2,23.4,0.7,0.7
Bagalkote,Karnataka,2023-07-01,32.6,23.5,1.7,1.7
Bagalkote,Karnataka,2023-07-02,33.0,23.5,2.6,2.6
Bagalkote,Karnataka,2023-07-03,33.2,23.4,16.0,16.0
Bagalkote,Karnataka,2023-07-04,32.6,23.5,13.4,13.4
Bagalkote,Karnataka,2023-07-05,30.7,23.4,8.1,8.1
Bagalkote,Karnataka,2023-07-06,27.9,23.3,3.0,3.0
Bagalkote,Karnataka,2023-07-07,29.6,23.1,7.5,7.5
Bagalkote,Karnataka,2023-07-08,27.9,23.0,2.5,2.5
Bagalkote,Karnataka,2023-07-09,31.6,23.0,6.8,6.8
Bagalkote,Karnataka,2023-07-10,30.9,23.4,0.0,0.0
Bagalkote,Karnataka,2023-07-11,30.9,22.7,0.1,0.1
Bagalkote,Karnataka,2023-07-12,32.0,23.3,1.2,1.2
Bagalkote,Karnataka,2023-07-13,32.5,22.6,7.9,7.9
Bagalkote,Karnataka,2023-07-14,30.3,23.2,2.2,2.2
Bagalkote,Karnataka,2023-07-15,30.5,22.7,6.7,6.7
Bagalkote,Karnataka,2023-07-16,32.7,23.1,0.9,0.9
Bagalkote,Karnataka,2023-07-17,30.4,23.1,2.5,2.5
Bagalkote,Karnataka,2023-07-18,24.2,22.3,17.6,17.6
Bagalkote,Karnataka,2023-07-19,26.3,21.8,12.0,12.0
Bagalkote,Karnataka,2023-07-20,25.3,22.6,14.3,14.3
Bagalkote,Karnataka,2023-07-21,27.8,22.2,5.4,5.4
Bagalkote,Karnataka,2023-07-22,26.4,22.6,8.1,8.1
Bagalkote,Karnataka,2023-07-23,29.2,22.6,11.1,11.1
Bagalkote,Karnataka,2023-07-24,28.7,22.6,7.1,7.1
Bagalkote,Karnataka,2023-07-25,25.4,22.4,24.3,24.3
Bagalkote,Karnataka,2023-07-26,26.9,21.7,13.2,13.2
Bagalkote,Karnataka,2023-07-27,23.8,22.0,23.6,23.6
Bagalkote,Karnataka,2023-07-28,29.2,21.7,3.1,3.1
Bagalkote,Karnataka,2023-07-29,28.8,22.6,0.4,0.4
Bagalkote,Karnataka,2023-07-30,29.5,22.2,1.9,1.9
Bagalkote,Karnataka,2023-07-31,29.9,22.7,5.4,5.4
Bagalkote,Karnataka,2023-08-01,29.6,22.8,2.0,2.0
Bagalkote,Karnataka,2023-08-02,29.5,23.0,0.7,0.7
Bagalkote,Karnataka,2023-08-03,30.1,23.1,1.1,1.1
Bagalkote,Karnataka,2023-08-04,30.6,22.4,0.8,0.8
Bagalkote,Karnataka,2023-08-05,30.4,22.7,3.4,3.4
Bagalkote,Karnataka,2023-08-06,31.1,22.6,0.9,0.9
Bagalkote,Karnataka,2023-08-07,30.4,22.1,1.1,1.1
Bagalkote,Karnataka,2023-08-08,30.3,22.0,1.2,1.2
Bagalkote,Karnataka,2023-08-09,31.5,21.3,1.6,1.6
Bagalkote,Karnataka,2023-08-10,31.5,21.6,0.8,0.8
Bagalkote,Karnataka,2023-08-11,31.0,21.5,0.8,0.8
Bagalkote,Karnataka,2023-08-12,31.1,21.6,0.2,0.2
Bagalkote,Karnataka,2023-08-13,31.1,21.8,1.0,1.0
Bagalkote,Karnataka,2023-08-14,31.7,21.4,0.0,0.0
Bagalkote,Karnataka,2023-08-15,31.3,21.9,1.0,1.0
Bagalkote,Karnataka,2023-08-16,32.2,21.6,0.5,0.5
Bagalkote,Karnataka,2023-08-17,31.0,21.6,1.0,1.0
Bagalkote,Karnataka,2023-08-18,31.5,21.7,0.9,0.9
Bagalkote,Karnataka,2023-08-19,27.6,23.1,0.7,0.7
Bagalkote,Karnataka,2023-08-20,31.7,22.2,1.0,1.0
Bagalkote,Karnataka,2023-08-21,32.2,21.7,0.0,0.0
Bagalkote,Karnataka,2023-08-22,32.6,21.9,0.1,0.1
Bagalkote,Karnataka,2023-08-23,32.7,22.0,0.0,0.0
Bagalkote,Karnataka,2023-08-24,32.0,21.1,0.6,0.6
Bagalkote,Karnataka,2023-08-25,30.3,22.4,5.1,5.1
Bagalkote,Karnataka,2023-08-26,32.1,22.2,0.2,0.2
Bagalkote,Karnataka,2023-08-27,32.4,21.3,0.5,0.5
Bagalkote,Karnataka,2023-08-28,31.5,21.9,1.3,1.3
Bagalkote,Karnataka,2023-08-29,31.8,21.3,2.7,2.7
Bagalkote,Karnataka,2023-08-30,32.0,21.9,1.5,1.5
Bagalkote,Karnataka,2023-08-31,32.9,22.7,0.8,0.8
Bagalkote,Karnataka,2023-09-01,34.2,23.0,0.0,0.0
Bagalkote,Karnataka,2023-09-02,33.5,23.6,0.7,0.7
Bagalkote,Karnataka,2023-09-03,32.1,23.1,13.6,13.6
Bagalkote,Karnataka,2023-09-04,25.3,22.3,18.2,18.2
Bagalkote,Karnataka,2023-09-05,29.1,21.9,0.6,0.6
Bagalkote,Karnataka,2023-09-06,31.7,21.8,0.0,0.0
Bagalkote,Karnataka,2023-09-07,31.3,21.5,0.4,0.4
Bagalkote,Karnataka,2023-09-08,27.6,22.6,3.7,3.7
Bagalkote,Karnataka,2023-09-09,31.9,22.8,1.5,1.5
Bagalkote,Karnataka,2023-09-10,31.7,22.9,0.6,0.6
Bagalkote,Karnataka,2023-09-11,31.3,21.9,2.9,2.9
Bagalkote,Karnataka,2023-09-12,32.0,21.8,0.4,0.4
Bagalkote,Karnataka,2023-09-13,31.8,21.6,1.6,1.6
Bagalkote,Karnataka,2023-09-14,31.3,21.5,2.2,2.2
Bagalkote,Karnataka,2023-09-15,32.4,21.4,0.4,0.4
Bagalkote,Karnataka,2023-09-16,32.6,22.5,2.0,2.0
Bagalkote,Karnataka,2023-09-17,32.7,22.7,1.1,1.1
Bagalkote,Karnataka,2023-09-18,32.7,22.5,1.0,1.0
Bagalkote,Karnataka,2023-09-19,33.1,22.7,0.7,0.7
Bagalkote,Karnataka,2023-09-20,32.8,22.6,4.9,4.9
Bagalkote,Karnataka,2023-09-21,33.2,22.9,11.6,11.6
Bagalkote,Karnataka,2023-09-22,32.1,22.8,9.0,9.0
Bagalkote,Karnataka,2023-09-23,32.3,22.5,8.1,8.1
Bagalkote,Karnataka,2023-09-24,29.8,22.1,0.7,0.7
Bagalkote,Karnataka,2023-09-25,32.3,22.1,30.7,30.7
Bagalkote,Karnataka,2023-09-26,29.9,21.9,17.9,17.9
Bagalkote,Karnataka,2023-09-27,31.4,21.9,32.9,32.9
Bagalkote,Karnataka,2023-09-28,30.6,21.9,12.9,12.9
Bagalkote,Karnataka,2023-09-29,30.6,21.7,10.3,10.3
Bagalkote,Karnataka,2023-09-30,31.1,22.3,13.0,13.0
Bagalkote,Karnataka,2023-10-01,30.1,23.2,9.4,9.4
Bagalkote,Karnataka,2023-10-02,29.1,22.1,4.0,4.0
Bagalkote,Karnataka,2023-10-03,30.0,21.2,0.5,0.5
Bagalkote,Karnataka,2023-10-04,30.7,21.9,0.2,0.2
Bagalkote,Karnataka,2023-10-05,31.8,21.6,0.0,0.0
Bagalkote,Karnataka,2023-10-06,31.9,20.8,0.0,0.0
Bagalkote,Karnataka,2023-10-07,32.6,19.9,0.0,0.0
Bagalkote,Karnataka,2023-10-08,33.5,20.4,0.0,0.0
Bagalkote,Karnataka,2023-10-09,34.3,20.3,0.0,0.0
Bagalkote,Karnataka,2023-10-10,34.2,21.5,0.0,0.0
Bagalkote,Karnataka,2023-10-11,33.5,21.8,0.0,0.0
Bagalkote,Karnataka,2023-10-12,34.6,23.6,0.2,0.2
Bagalkote,Karnataka,2023-10-13,34.8,25.1,0.0,0.0
Bagalkote,Karnataka,2023-10-14,34.3,24.5,0.0,0.0
Bagalkote,Karnataka,2023-10-15,34.1,24.5,0.3,0.3
Bagalkote,Karnataka,2023-10-16,34.5,24.9,0.5,0.5
Bagalkote,Karnataka,2023-10-17,34.5,24.6,0.0,0.0
Bagalkote,Karnataka,2023-10-18,35.1,24.1,0.0,0.0
Bagalkote,Karnataka,2023-10-19,35.4,23.8,0.0,0.0
Bagalkote,Karnataka,2023-10-20,35.3,23.8,0.0,0.0
Bagalkote,Karnataka,2023-10-21,35.1,23.9,0.0,0.0
Bagalkote,Karnataka,2023-10-22,34.0,23.8,0.0,0.0
Bagalkote,Karnataka,2023-10-23,34.2,21.3,0.0,0.0
Bagalkote,Karnataka,2023-10-24,33.8,21.6,0.0,0.0
Bagalkote,Karnataka,2023-10-25,33.8,22.2,0.0,0.0
Bagalkote,Karnataka,2023-10-26,33.2,22.2,0.0,0.0
Bagalkote,Karnataka,2023-10-27,33.0,21.1,0.0,0.0
Bagalkote,Karnataka,2023-10-28,34.3,20.9,0.0,0.0
Bagalkote,Karnataka,2023-10-29,33.9,23.4,0.0,0.0
Bagalkote,Karnataka,2023-10-30,33.5,23.3,0.6,0.6
Bagalkote,Karnataka,2023-10-31,32.9,22.2,0.0,0.0
Bagalkote,Karnataka,2023-11-01,33.6,23.2,0.0,0.0
Bagalkote,Karnataka,2023-11-02,33.2,22.9,0.0,0.0
Bagalkote,Karnataka,2023-11-03,32.9,21.3,6.4,6.4
Bagalkote,Karnataka,2023-11-04,32.4,21.0,9.2,9.2
Bagalkote,Karnataka,2023-11-05,33.1,23.0,0.0,0.0
Bagalkote,Karnataka,2023-11-06,31.5,22.9,0.8,0.8
Bagalkote,Karnataka,2023-11-07,31.9,23.0,9.9,9.9
Bagalkote,Karnataka,2023-11-08,29.3,21.2,15.0,15.0
Bagalkote,Karnataka,2023-11-09,29.7,21.7,4.9,4.9
Bagalkote,Karnataka,2023-11-10,30.0,21.4,0.2,0.2
Bagalkote,Karnataka,2023-11-11,30.8,22.1,0.0,0.0
Bagalkote,Karnataka,2023-11-12,31.2,21.1,0.0,0.0
Bagalkote,Karnataka,2023-11-13,30.6,20.2,0.0,0.0
Bagalkote,Karnataka,2023-11-14,29.9,20.3,0.0,0.0
Bagalkote,Karnataka,2023-11-15,30.1,20.9,0.0,0.0
Bagalkote,Karnataka,2023-11-16,30.5,20.5,0.0,0.0
Bagalkote,Karnataka,2023-11-17,30.6,20.4,0.0,0.0
Bagalkote,Karnataka,2023-11-18,32.2,21.0,0.0,0.0
Bagalkote,Karnataka,2023-11-19,32.2,22.2,0.0,0.0
Bagalkote,Karnataka,2023-11-20,31.2,21.9,0.0,0.0
Bagalkote,Karnataka,2023-11-21,31.3,20.7,0.0,0.0
Bagalkote,Karnataka,2023-11-22,31.6,21.4,0.0,0.0
Bagalkote,Karnataka,2023-11-23,31.6,21.3,0.0,0.0
Bagalkote,Karnataka,2023-11-24,31.0,21.9,1.1,1.1
Bagalkote,Karnataka,2023-11-25,31.4,21.3,2.5,2.5
Bagalkote,Karnataka,2023-11-26,31.3,20.5,4.0,4.0
Bagalkote,Karnataka,2023-11-27,31.1,21.3,1.8,1.8
Bagalkote,Karnataka,2023-11-28,30.6,20.7,0.7,0.7
Bagalkote,Karnataka,2023-11-29,30.4,20.0,0.8,0.8
Bagalkote,Karnataka,2023-11-30,31.0,20.6,4.2,4.2
Bagalkote,Karnataka,2023-12-01,30.4,20.6,0.9,0.9
Bagalkote,Karnataka,2023-12-02,31.5,20.4,0.0,0.0
Bagalkote,Karnataka,2023-12-03,31.4,20.2,0.0,0.0
Bagalkote,Karnataka,2023-12-04,31.9,20.6,0.0,0.0
Bagalkote,Karnataka,2023-12-05,29.4,20.8,0.3,0.3
Bagalkote,Karnataka,2023-12-06,30.4,20.0,0.0,0.0
Bagalkote,Karnataka,2023-12-07,29.7,19.2,0.4,0.4
Bagalkote,Karnataka,2023-12-08,30.0,20.3,0.3,0.3
Bagalkote,Karnataka,2023-12-09,29.9,21.2,0.0,0.0
Bagalkote,Karnataka,2023-12-10,30.1,23.2,0.0,0.0
Bagalkote,Karnataka,2023-12-11,31.0,20.6,0.0,0.0
Bagalkote,Karnataka,2023-12-12,29.9,20.6,0.0,0.0
Bagalkote,Karnataka,2023-12-13,29.7,19.8,0.0,0.0
Bagalkote,Karnataka,2023-12-14,28.5,19.1,0.0,0.0
Bagalkote,Karnataka,2023-12-15,29.0,18.0,0.0,0.0
Bagalkote,Karnataka,2023-12-16,29.4,19.0,0.0,0.0
Bagalkote,Karnataka,2023-12-17,29.5,20.5,0.0,0.0
Bagalkote,Karnataka,2023-12-18,28.8,20.8,0.0,0.0
Bagalkote,Karnataka,2023-12-19,28.6,20.0,0.0,0.0
Bagalkote,Karnataka,2023-12-20,29.2,18.5,0.0,0.0
Bagalkote,Karnataka,2023-12-21,30.0,18.9,0.0,0.0
Bagalkote,Karnataka,2023-12-22,30.6,18.7,0.0,0.0
Bagalkote,Karnataka,2023-12-23,30.7,17.9,0.0,0.0
Bagalkote,Karnataka,2023-12-24,30.0,17.5,0.0,0.0
Bagalkote,Karnataka,2023-12-25,30.5,17.0,0.0,0.0
Bagalkote,Karnataka,2023-12-26,31.2,16.5,0.0,0.0
Bagalkote,Karnataka,2023-12-27,30.9,16.7,0.0,0.0
Bagalkote,Karnataka,2023-12-28,31.0,17.8,0.0,0.0
Bagalkote,Karnataka,2023-12-29,30.9,17.6,0.0,0.0
Bagalkote,Karnataka,2023-12-30,30.6,17.8,0.0,0.0
Bagalkote,Karnataka,2023-12-31,30.8,18.3,0.0,0.0
Bagalkote,Karnataka,2024-01-01,30.3,18.3,0.0,0.0
Bagalkote,Karnataka,2024-01-02,30.8,19.0,0.0,0.0
Bagalkote,Karnataka,2024-01-03,30.5,19.5,0.0,0.0
Bagalkote,Karnataka,2024-01-04,29.9,20.7,0.2,0.2
Bagalkote,Karnataka,2024-01-05,31.3,20.0,0.0,0.0
Bagalkote,Karnataka,2024-01-06,31.4,20.4,0.0,0.0
Bagalkote,Karnataka,2024-01-07,30.9,21.0,0.0,0.0
Bagalkote,Karnataka,2024-01-08,30.8,20.2,0.0,0.0
Bagalkote,Karnataka,2024-01-09,31.1,21.1,0.0,0.0
Bagalkote,Karnataka,2024-01-10,31.1,21.0,0.1,0.1
Bagalkote,Karnataka,2024-01-11,32.1,21.1,0.0,0.0
Bagalkote,Karnataka,2024-01-12,32.0,20.4,0.0,0.0
Bagalkote,Karnataka,2024-01-13,31.8,19.7,0.0,0.0
Bagalkote,Karnataka,2024-01-14,31.8,20.7,0.0,0.0
Bagalkote,Karnataka,2024-01-15,30.6,19.9,0.0,0.0
Bagalkote,Karnataka,2024-01-16,31.2,17.6,0.0,0.0
Bagalkote,Karnataka,2024-01-17,31.0,18.0,0.0,0.0
Bagalkote,Karnataka,2024-01-18,30.1,18.8,0.0,0.0
Bagalkote,Karnataka,2024-01-19,31.6,17.3,0.0,0.0
Bagalkote,Karnataka,2024-01-20,32.0,18.2,0.0,0.0
Bagalkote,Karnataka,2024-01-21,31.6,19.3,0.0,0.0
Bagalkote,Karnataka,2024-01-22,32.6,19.2,0.0,0.0
