facility_id_from,facility_id_to,district,state,travel_time_min
FAC0002,FAC0029,Sarguja,Chhattisgarh,4.1
FAC0002,FAC0030,Sarguja,Chhattisgarh,3.47
FAC0003,FAC0001,Sarguja,Chhattisgarh,1.22
FAC0003,FAC0002,Sarguja,Chhattisgarh,0.59
FAC0003,FAC0004,Sarguja,Chhattisgarh,2.38
FAC0003,FAC0005,Sarguja,Chhattisgarh,18.45
FAC0003,FAC0006,Sarguja,Chhattisgarh,3.96
FAC0003,FAC0007,Sarguja,Chhattisgarh,2.75
FAC0003,FAC0008,Sarguja,Chhattisgarh,3.69
FAC0003,FAC0009,Sarguja,Chhattisgarh,20.43
FAC0003,FAC0010,Sarguja,Chhattisgarh,27.56
FAC0003,FAC0011,Sarguja,Chhattisgarh,29.05
FAC0003,FAC0012,Sarguja,Chhattisgarh,14.48
FAC0003,FAC0013,Sarguja,Chhattisgarh,3.68
FAC0003,FAC0014,Sarguja,Chhattisgarh,2.12
FAC0003,FAC0015,Sarguja,Chhattisgarh,2.2
FAC0003,FAC0016,Sarguja,Chhattisgarh,2.93
FAC0003,FAC0017,Sarguja,Chhattisgarh,0.95
FAC0003,FAC0018,Sarguja,Chhattisgarh,3.41
FAC0003,FAC0019,Sarguja,Chhattisgarh,30.09
FAC0003,FAC0020,Sarguja,Chhattisgarh,3.85
FAC0003,FAC0021,Sarguja,Chhattisgarh,2.07
FAC0003,FAC0022,Sarguja,Chhattisgarh,18.82
FAC0003,FAC0023,Sarguja,Chhattisgarh,3.48
FAC0003,FAC0024,Sarguja,Chhattisgarh,1.98
FAC0003,FAC0025,Sarguja,Chhattisgarh,3.66
FAC0003,FAC0026,Sarguja,Chhattisgarh,4.46
FAC0003,FAC0027,Sarguja,Chhattisgarh,4.6
FAC0003,FAC0028,Sarguja,Chhattisgarh,0.77
FAC0003,FAC0029,Sarguja,Chhattisgarh,3.88
FAC0003,FAC0030,Sarguja,Chhattisgarh,3.25
FAC0004,FAC0001,Sarguja,Chhattisgarh,3.19
FAC0004,FAC0002,Sarguja,Chhattisgarh,2.72
FAC0004,FAC0003,Sarguja,Chhattisgarh,2.5
FAC0004,FAC0005,Sarguja,Chhattisgarh,19.86
FAC0004,FAC0006,Sarguja,Chhattisgarh,5.19
FAC0004,FAC0007,Sarguja,Chhattisgarh,3.98
FAC0004,FAC0008,Sarguja,Chhattisgarh,4.93
FAC0004,FAC0009,Sarguja,Chhattisgarh,21.83
FAC0004,FAC0010,Sarguja,Chhattisgarh,28.96
FAC0004,FAC0011,Sarguja,Chhattisgarh,28.96
FAC0004,FAC0012,Sarguja,Chhattisgarh,12.91
FAC0004,FAC0013,Sarguja,Chhattisgarh,4.91
FAC0004,FAC0014,Sarguja,Chhattisgarh,3.35
FAC0004,FAC0015,Sarguja,Chhattisgarh,4.17
FAC0004,FAC0016,Sarguja,Chhattisgarh,4.9
FAC0004,FAC0017,Sarguja,Chhattisgarh,2.19
FAC0004,FAC0018,Sarguja,Chhattisgarh,4.64
FAC0004,FAC0019,Sarguja,Chhattisgarh,32.06
FAC0004,FAC0020,Sarguja,Chhattisgarh,5.08
FAC0004,FAC0021,Sarguja,Chhattisgarh,4.04
FAC0004,FAC0022,Sarguja,Chhattisgarh,20.05
FAC0004,FAC0023,Sarguja,Chhattisgarh,4.71
FAC0004,FAC0024,Sarguja,Chhattisgarh,2.35
FAC0004,FAC0025,Sarguja,Chhattisgarh,4.89
FAC0004,FAC0026,Sarguja,Chhattisgarh,5.69
FAC0004,FAC0027,Sarguja,Chhattisgarh,3.03
FAC0004,FAC0028,Sarguja,Chhattisgarh,2.0
FAC0004,FAC0029,Sarguja,Chhattisgarh,5.11
FAC0004,FAC0030,Sarguja,Chhattisgarh,4.48
FAC0005,FAC0001,Sarguja,Chhattisgarh,18.71
FAC0005,FAC0002,Sarguja,Chhattisgarh,18.72
FAC0005,FAC0003,Sarguja,Chhattisgarh,18.13
FAC0005,FAC0004,Sarguja,Chhattisgarh,19.92
FAC0005,FAC0006,Sarguja,Chhattisgarh,17.08
FAC0005,FAC0007,Sarguja,Chhattisgarh,17.22
FAC0005,FAC0008,Sarguja,Chhattisgarh,16.63
FAC0005,FAC0009,Sarguja,Chhattisgarh,29.3
FAC0005,FAC0010,Sarguja,Chhattisgarh,36.43
FAC0005,FAC0011,Sarguja,Chhattisgarh,46.58
FAC0005,FAC0012,Sarguja,Chhattisgarh,32.01
FAC0005,FAC0013,Sarguja,Chhattisgarh,16.81
FAC0005,FAC0014,Sarguja,Chhattisgarh,17.33
FAC0005,FAC0015,Sarguja,Chhattisgarh,17.89
FAC0005,FAC0016,Sarguja,Chhattisgarh,18.65
FAC0005,FAC0017,Sarguja,Chhattisgarh,18.49
FAC0005,FAC0018,Sarguja,Chhattisgarh,16.98
FAC0005,FAC0019,Sarguja,Chhattisgarh,46.63
FAC0005,FAC0020,Sarguja,Chhattisgarh,16.79
FAC0005,FAC0021,Sarguja,Chhattisgarh,17.79
FAC0005,FAC0022,Sarguja,Chhattisgarh,31.75
FAC0005,FAC0023,Sarguja,Chhattisgarh,16.42
FAC0005,FAC0024,Sarguja,Chhattisgarh,19.51
FAC0005,FAC0025,Sarguja,Chhattisgarh,18.98
FAC0005,FAC0026,Sarguja,Chhattisgarh,16.18
FAC0005,FAC0027,Sarguja,Chhattisgarh,22.13
FAC0005,FAC0028,Sarguja,Chhattisgarh,18.3
FAC0005,FAC0029,Sarguja,Chhattisgarh,17.0
FAC0005,FAC0030,Sarguja,Chhattisgarh,16.19
FAC0006,FAC0001,Sarguja,Chhattisgarh,4.7
FAC0006,FAC0002,Sarguja,Chhattisgarh,4.36
FAC0006,FAC0003,Sarguja,Chhattisgarh,4.19
FAC0006,FAC0004,Sarguja,Chhattisgarh,5.26
FAC0006,FAC0005,Sarguja,Chhattisgarh,17.01
FAC0006,FAC0007,Sarguja,Chhattisgarh,2.56
FAC0006,FAC0008,Sarguja,Chhattisgarh,0.49
FAC0006,FAC0009,Sarguja,Chhattisgarh,18.98
FAC0006,FAC0010,Sarguja,Chhattisgarh,26.11
FAC0006,FAC0011,Sarguja,Chhattisgarh,31.92
FAC0006,FAC0012,Sarguja,Chhattisgarh,17.36
FAC0006,FAC0013,Sarguja,Chhattisgarh,0.71
FAC0006,FAC0014,Sarguja,Chhattisgarh,2.93
FAC0006,FAC0015,Sarguja,Chhattisgarh,3.39
FAC0006,FAC0016,Sarguja,Chhattisgarh,5.24
FAC0006,FAC0017,Sarguja,Chhattisgarh,3.87
FAC0006,FAC0018,Sarguja,Chhattisgarh,2.01
FAC0006,FAC0019,Sarguja,Chhattisgarh,33.11
FAC0006,FAC0020,Sarguja,Chhattisgarh,0.45
FAC0006,FAC0021,Sarguja,Chhattisgarh,4.38
FAC0006,FAC0022,Sarguja,Chhattisgarh,17.15
FAC0006,FAC0023,Sarguja,Chhattisgarh,0.98
FAC0006,FAC0024,Sarguja,Chhattisgarh,4.86
FAC0006,FAC0025,Sarguja,Chhattisgarh,3.92
FAC0006,FAC0026,Sarguja,Chhattisgarh,1.73
FAC0006,FAC0027,Sarguja,Chhattisgarh,7.48
FAC0006,FAC0028,Sarguja,Chhattisgarh,3.69
FAC0006,FAC0029,Sarguja,Chhattisgarh,0.51
FAC0006,FAC0030,Sarguja,Chhattisgarh,0.89
FAC0007,FAC0001,Sarguja,Chhattisgarh,3.79
FAC0007,FAC0002,Sarguja,Chhattisgarh,3.03
FAC0007,FAC0003,Sarguja,Chhattisgarh,3.11
FAC0007,FAC0004,Sarguja,Chhattisgarh,4.18
FAC0007,FAC0005,Sarguja,Chhattisgarh,17.18
FAC0007,FAC0006,Sarguja,Chhattisgarh,2.46
FAC0007,FAC0008,Sarguja,Chhattisgarh,2.28
FAC0007,FAC0009,Sarguja,Chhattisgarh,19.15
FAC0007,FAC0010,Sarguja,Chhattisgarh,26.28
FAC0007,FAC0011,Sarguja,Chhattisgarh,30.85
FAC0007,FAC0012,Sarguja,Chhattisgarh,16.28
FAC0007,FAC0013,Sarguja,Chhattisgarh,1.75
FAC0007,FAC0014,Sarguja,Chhattisgarh,1.54
FAC0007,FAC0015,Sarguja,Chhattisgarh,2.86
FAC0007,FAC0016,Sarguja,Chhattisgarh,4.75
FAC0007,FAC0017,Sarguja,Chhattisgarh,2.75
FAC0007,FAC0018,Sarguja,Chhattisgarh,1.48
FAC0007,FAC0019,Sarguja,Chhattisgarh,32.58
FAC0007,FAC0020,Sarguja,Chhattisgarh,2.4
FAC0007,FAC0021,Sarguja,Chhattisgarh,3.89
FAC0007,FAC0022,Sarguja,Chhattisgarh,18.94
FAC0007,FAC0023,Sarguja,Chhattisgarh,1.93
FAC0007,FAC0024,Sarguja,Chhattisgarh,3.78
FAC0007,FAC0025,Sarguja,Chhattisgarh,5.46
FAC0007,FAC0026,Sarguja,Chhattisgarh,3.05
FAC0007,FAC0027,Sarguja,Chhattisgarh,6.4
FAC0007,FAC0028,Sarguja,Chhattisgarh,2.57
FAC0007,FAC0029,Sarguja,Chhattisgarh,1.95
FAC0007,FAC0030,Sarguja,Chhattisgarh,1.84
FAC0008,FAC0001,Sarguja,Chhattisgarh,4.25
FAC0008,FAC0002,Sarguja,Chhattisgarh,3.91
FAC0008,FAC0003,Sarguja,Chhattisgarh,3.99
FAC0008,FAC0004,Sarguja,Chhattisgarh,5.06
FAC0008,FAC0005,Sarguja,Chhattisgarh,16.56
FAC0008,FAC0006,Sarguja,Chhattisgarh,0.6
FAC0008,FAC0007,Sarguja,Chhattisgarh,2.36
FAC0008,FAC0009,Sarguja,Chhattisgarh,18.53
FAC0008,FAC0010,Sarguja,Chhattisgarh,25.67
FAC0008,FAC0011,Sarguja,Chhattisgarh,31.73
FAC0008,FAC0012,Sarguja,Chhattisgarh,17.16
FAC0008,FAC0013,Sarguja,Chhattisgarh,0.92
FAC0008,FAC0014,Sarguja,Chhattisgarh,2.48
FAC0008,FAC0015,Sarguja,Chhattisgarh,2.94
FAC0008,FAC0016,Sarguja,Chhattisgarh,4.79
FAC0008,FAC0017,Sarguja,Chhattisgarh,3.64
FAC0008,FAC0018,Sarguja,Chhattisgarh,1.97
FAC0008,FAC0019,Sarguja,Chhattisgarh,32.66
FAC0008,FAC0020,Sarguja,Chhattisgarh,0.54
FAC0008,FAC0021,Sarguja,Chhattisgarh,3.93
FAC0008,FAC0022,Sarguja,Chhattisgarh,16.65
FAC0008,FAC0023,Sarguja,Chhattisgarh,0.53
FAC0008,FAC0024,Sarguja,Chhattisgarh,4.66
FAC0008,FAC0025,Sarguja,Chhattisgarh,3.83
FAC0008,FAC0026,Sarguja,Chhattisgarh,1.29
FAC0008,FAC0027,Sarguja,Chhattisgarh,7.28
FAC0008,FAC0028,Sarguja,Chhattisgarh,3.45
FAC0008,FAC0029,Sarguja,Chhattisgarh,0.94
FAC0008,FAC0030,Sarguja,Chhattisgarh,0.45
FAC0009,FAC0001,Sarguja,Chhattisgarh,20.65
FAC0009,FAC0002,Sarguja,Chhattisgarh,20.66
FAC0009,FAC0003,Sarguja,Chhattisgarh,20.07
FAC0009,FAC0004,Sarguja,Chhattisgarh,21.86
FAC0009,FAC0005,Sarguja,Chhattisgarh,29.34
FAC0009,FAC0006,Sarguja,Chhattisgarh,19.03
FAC0009,FAC0007,Sarguja,Chhattisgarh,19.17
FAC0009,FAC0008,Sarguja,Chhattisgarh,18.58
FAC0009,FAC0010,Sarguja,Chhattisgarh,23.05
FAC0009,FAC0011,Sarguja,Chhattisgarh,48.52
FAC0009,FAC0012,Sarguja,Chhattisgarh,33.96
FAC0009,FAC0013,Sarguja,Chhattisgarh,18.75
FAC0009,FAC0014,Sarguja,Chhattisgarh,19.27
FAC0009,FAC0015,Sarguja,Chhattisgarh,19.83
FAC0009,FAC0016,Sarguja,Chhattisgarh,20.6
FAC0009,FAC0017,Sarguja,Chhattisgarh,20.43
FAC0009,FAC0018,Sarguja,Chhattisgarh,18.92
FAC0009,FAC0019,Sarguja,Chhattisgarh,48.57
FAC0009,FAC0020,Sarguja,Chhattisgarh,18.73
FAC0009,FAC0021,Sarguja,Chhattisgarh,19.73
FAC0009,FAC0022,Sarguja,Chhattisgarh,33.9
FAC0009,FAC0023,Sarguja,Chhattisgarh,18.36
FAC0009,FAC0024,Sarguja,Chhattisgarh,21.46
FAC0009,FAC0025,Sarguja,Chhattisgarh,20.93
FAC0009,FAC0026,Sarguja,Chhattisgarh,18.13
FAC0009,FAC0027,Sarguja,Chhattisgarh,24.08
FAC0009,FAC0028,Sarguja,Chhattisgarh,20.25
FAC0009,FAC0029,Sarguja,Chhattisgarh,18.95
FAC0009,FAC0030,Sarguja,Chhattisgarh,18.13
FAC0010,FAC0001,Sarguja,Chhattisgarh,27.76
FAC0010,FAC0002,Sarguja,Chhattisgarh,27.77
FAC0010,FAC0003,Sarguja,Chhattisgarh,27.18
FAC0010,FAC0004,Sarguja,Chhattisgarh,28.97
FAC0010,FAC0005,Sarguja,Chhattisgarh,36.45
FAC0010,FAC0006,Sarguja,Chhattisgarh,26.14
FAC0010,FAC0007,Sarguja,Chhattisgarh,26.28
FAC0010,FAC0008,Sarguja,Chhattisgarh,25.69
FAC0010,FAC0009,Sarguja,Chhattisgarh,23.08
FAC0010,FAC0011,Sarguja,Chhattisgarh,55.63
FAC0010,FAC0012,Sarguja,Chhattisgarh,41.07
FAC0010,FAC0013,Sarguja,Chhattisgarh,25.86
FAC0010,FAC0014,Sarguja,Chhattisgarh,26.38
FAC0010,FAC0015,Sarguja,Chhattisgarh,26.94
FAC0010,FAC0016,Sarguja,Chhattisgarh,27.7
FAC0010,FAC0017,Sarguja,Chhattisgarh,27.54
FAC0010,FAC0018,Sarguja,Chhattisgarh,26.03
FAC0010,FAC0019,Sarguja,Chhattisgarh,50.07
FAC0010,FAC0020,Sarguja,Chhattisgarh,25.84
FAC0010,FAC0021,Sarguja,Chhattisgarh,26.84
FAC0010,FAC0022,Sarguja,Chhattisgarh,41.01
FAC0010,FAC0023,Sarguja,Chhattisgarh,25.47
FAC0010,FAC0024,Sarguja,Chhattisgarh,28.57
FAC0010,FAC0025,Sarguja,Chhattisgarh,28.04
FAC0010,FAC0026,Sarguja,Chhattisgarh,25.23
FAC0010,FAC0027,Sarguja,Chhattisgarh,31.19
FAC0010,FAC0028,Sarguja,Chhattisgarh,27.36
FAC0010,FAC0029,Sarguja,Chhattisgarh,26.05
FAC0010,FAC0030,Sarguja,Chhattisgarh,25.24
FAC0011,FAC0001,Sarguja,Chhattisgarh,29.94
FAC0011,FAC0002,Sarguja,Chhattisgarh,29.47
FAC0011,FAC0003,Sarguja,Chhattisgarh,29.25
FAC0011,FAC0004,Sarguja,Chhattisgarh,28.91
FAC0011,FAC0005,Sarguja,Chhattisgarh,46.61
FAC0011,FAC0006,Sarguja,Chhattisgarh,31.94
FAC0011,FAC0007,Sarguja,Chhattisgarh,30.74
FAC0011,FAC0008,Sarguja,Chhattisgarh,31.68
FAC0011,FAC0009,Sarguja,Chhattisgarh,48.58
FAC0011,FAC0010,Sarguja,Chhattisgarh,55.71
FAC0011,FAC0012,Sarguja,Chhattisgarh,31.67
FAC0011,FAC0013,Sarguja,Chhattisgarh,31.67
FAC0011,FAC0014,Sarguja,Chhattisgarh,30.1
FAC0011,FAC0015,Sarguja,Chhattisgarh,30.93
FAC0011,FAC0016,Sarguja,Chhattisgarh,31.65
FAC0011,FAC0017,Sarguja,Chhattisgarh,28.94
FAC0011,FAC0018,Sarguja,Chhattisgarh,31.39
FAC0011,FAC0019,Sarguja,Chhattisgarh,28.65
FAC0011,FAC0020,Sarguja,Chhattisgarh,31.83
FAC0011,FAC0021,Sarguja,Chhattisgarh,30.79
FAC0011,FAC0022,Sarguja,Chhattisgarh,46.8
FAC0011,FAC0023,Sarguja,Chhattisgarh,31.46
FAC0011,FAC0024,Sarguja,Chhattisgarh,28.42
FAC0011,FAC0025,Sarguja,Chhattisgarh,31.64
FAC0011,FAC0026,Sarguja,Chhattisgarh,32.45
FAC0011,FAC0027,Sarguja,Chhattisgarh,30.52
FAC0011,FAC0028,Sarguja,Chhattisgarh,28.75
FAC0011,FAC0029,Sarguja,Chhattisgarh,31.86
FAC0011,FAC0030,Sarguja,Chhattisgarh,31.23
FAC0012,FAC0001,Sarguja,Chhattisgarh,15.34
FAC0012,FAC0002,Sarguja,Chhattisgarh,14.87
FAC0012,FAC0003,Sarguja,Chhattisgarh,14.65
FAC0012,FAC0004,Sarguja,Chhattisgarh,12.85
FAC0012,FAC0005,Sarguja,Chhattisgarh,32.01
FAC0012,FAC0006,Sarguja,Chhattisgarh,17.34
FAC0012,FAC0007,Sarguja,Chhattisgarh,16.14
FAC0012,FAC0008,Sarguja,Chhattisgarh,17.08
FAC0012,FAC0009,Sarguja,Chhattisgarh,33.98
FAC0012,FAC0010,Sarguja,Chhattisgarh,41.11
FAC0012,FAC0011,Sarguja,Chhattisgarh,31.73
FAC0012,FAC0013,Sarguja,Chhattisgarh,17.07
FAC0012,FAC0014,Sarguja,Chhattisgarh,15.5
FAC0012,FAC0015,Sarguja,Chhattisgarh,16.33
FAC0012,FAC0016,Sarguja,Chhattisgarh,17.05
FAC0012,FAC0017,Sarguja,Chhattisgarh,14.34
FAC0012,FAC0018,Sarguja,Chhattisgarh,16.8
FAC0012,FAC0019,Sarguja,Chhattisgarh,44.22
FAC0012,FAC0020,Sarguja,Chhattisgarh,17.23
FAC0012,FAC0021,Sarguja,Chhattisgarh,16.19
FAC0012,FAC0022,Sarguja,Chhattisgarh,32.2
FAC0012,FAC0023,Sarguja,Chhattisgarh,16.86
FAC0012,FAC0024,Sarguja,Chhattisgarh,14.51
FAC0012,FAC0025,Sarguja,Chhattisgarh,16.87
FAC0012,FAC0026,Sarguja,Chhattisgarh,17.85
FAC0012,FAC0027,Sarguja,Chhattisgarh,12.41
FAC0012,FAC0028,Sarguja,Chhattisgarh,14.15
FAC0012,FAC0029,Sarguja,Chhattisgarh,17.26
FAC0012,FAC0030,Sarguja,Chhattisgarh,16.64
FAC0013,FAC0001,Sarguja,Chhattisgarh,4.43
FAC0013,FAC0002,Sarguja,Chhattisgarh,3.94
FAC0013,FAC0003,Sarguja,Chhattisgarh,4.03
FAC0013,FAC0004,Sarguja,Chhattisgarh,5.1
FAC0013,FAC0005,Sarguja,Chhattisgarh,16.74
FAC0013,FAC0006,Sarguja,Chhattisgarh,0.71
FAC0013,FAC0007,Sarguja,Chhattisgarh,1.85
FAC0013,FAC0008,Sarguja,Chhattisgarh,0.81
FAC0013,FAC0009,Sarguja,Chhattisgarh,18.71
FAC0013,FAC0010,Sarguja,Chhattisgarh,25.84
FAC0013,FAC0011,Sarguja,Chhattisgarh,31.76
FAC0013,FAC0012,Sarguja,Chhattisgarh,17.2
FAC0013,FAC0014,Sarguja,Chhattisgarh,2.46
FAC0013,FAC0015,Sarguja,Chhattisgarh,3.12
FAC0013,FAC0016,Sarguja,Chhattisgarh,4.97
FAC0013,FAC0017,Sarguja,Chhattisgarh,3.67
FAC0013,FAC0018,Sarguja,Chhattisgarh,1.3
FAC0013,FAC0019,Sarguja,Chhattisgarh,32.84
FAC0013,FAC0020,Sarguja,Chhattisgarh,0.64
FAC0013,FAC0021,Sarguja,Chhattisgarh,4.11
FAC0013,FAC0022,Sarguja,Chhattisgarh,17.47
FAC0013,FAC0023,Sarguja,Chhattisgarh,0.34
FAC0013,FAC0024,Sarguja,Chhattisgarh,4.69
FAC0013,FAC0025,Sarguja,Chhattisgarh,4.62
FAC0013,FAC0026,Sarguja,Chhattisgarh,1.58
FAC0013,FAC0027,Sarguja,Chhattisgarh,7.31
FAC0013,FAC0028,Sarguja,Chhattisgarh,3.48
FAC0013,FAC0029,Sarguja,Chhattisgarh,0.19
FAC0013,FAC0030,Sarguja,Chhattisgarh,0.62
FAC0014,FAC0001,Sarguja,Chhattisgarh,2.57
FAC0014,FAC0002,Sarguja,Chhattisgarh,2.26
FAC0014,FAC0003,Sarguja,Chhattisgarh,2.34
FAC0014,FAC0004,Sarguja,Chhattisgarh,3.41
FAC0014,FAC0005,Sarguja,Chhattisgarh,17.4
FAC0014,FAC0006,Sarguja,Chhattisgarh,2.92
FAC0014,FAC0007,Sarguja,Chhattisgarh,1.51
FAC0014,FAC0008,Sarguja,Chhattisgarh,2.47
FAC0014,FAC0009,Sarguja,Chhattisgarh,19.37
FAC0014,FAC0010,Sarguja,Chhattisgarh,26.5
FAC0014,FAC0011,Sarguja,Chhattisgarh,30.07
FAC0014,FAC0012,Sarguja,Chhattisgarh,15.51
FAC0014,FAC0013,Sarguja,Chhattisgarh,2.44
FAC0014,FAC0015,Sarguja,Chhattisgarh,1.32
FAC0014,FAC0016,Sarguja,Chhattisgarh,3.58
FAC0014,FAC0017,Sarguja,Chhattisgarh,1.98
FAC0014,FAC0018,Sarguja,Chhattisgarh,2.17
FAC0014,FAC0019,Sarguja,Chhattisgarh,31.04
FAC0014,FAC0020,Sarguja,Chhattisgarh,2.62
FAC0014,FAC0021,Sarguja,Chhattisgarh,2.72
FAC0014,FAC0022,Sarguja,Chhattisgarh,19.13
FAC0014,FAC0023,Sarguja,Chhattisgarh,2.26
FAC0014,FAC0024,Sarguja,Chhattisgarh,3.01
FAC0014,FAC0025,Sarguja,Chhattisgarh,4.69
FAC0014,FAC0026,Sarguja,Chhattisgarh,3.24
FAC0014,FAC0027,Sarguja,Chhattisgarh,5.63
FAC0014,FAC0028,Sarguja,Chhattisgarh,1.8
FAC0014,FAC0029,Sarguja,Chhattisgarh,2.63
FAC0014,FAC0030,Sarguja,Chhattisgarh,2.03
FAC0015,FAC0001,Sarguja,Chhattisgarh,2.25
FAC0015,FAC0002,Sarguja,Chhattisgarh,2.53
FAC0015,FAC0003,Sarguja,Chhattisgarh,1.94
FAC0015,FAC0004,Sarguja,Chhattisgarh,4.32
FAC0015,FAC0005,Sarguja,Chhattisgarh,17.83
FAC0015,FAC0006,Sarguja,Chhattisgarh,3.34
FAC0015,FAC0007,Sarguja,Chhattisgarh,2.8
FAC0015,FAC0008,Sarguja,Chhattisgarh,2.9
FAC0015,FAC0009,Sarguja,Chhattisgarh,19.81
FAC0015,FAC0010,Sarguja,Chhattisgarh,26.94
FAC0015,FAC0011,Sarguja,Chhattisgarh,30.99
FAC0015,FAC0012,Sarguja,Chhattisgarh,16.42
FAC0015,FAC0013,Sarguja,Chhattisgarh,3.07
FAC0015,FAC0014,Sarguja,Chhattisgarh,1.32
FAC0015,FAC0016,Sarguja,Chhattisgarh,2.62
FAC0015,FAC0017,Sarguja,Chhattisgarh,2.9
FAC0015,FAC0018,Sarguja,Chhattisgarh,3.43
FAC0015,FAC0019,Sarguja,Chhattisgarh,30.44
FAC0015,FAC0020,Sarguja,Chhattisgarh,3.05
FAC0015,FAC0021,Sarguja,Chhattisgarh,1.76
FAC0015,FAC0022,Sarguja,Chhattisgarh,19.55
FAC0015,FAC0023,Sarguja,Chhattisgarh,2.68
FAC0015,FAC0024,Sarguja,Chhattisgarh,3.92
FAC0015,FAC0025,Sarguja,Chhattisgarh,5.6
FAC0015,FAC0026,Sarguja,Chhattisgarh,3.66
FAC0015,FAC0027,Sarguja,Chhattisgarh,6.54
FAC0015,FAC0028,Sarguja,Chhattisgarh,2.71
FAC0015,FAC0029,Sarguja,Chhattisgarh,3.26
FAC0015,FAC0030,Sarguja,Chhattisgarh,2.45
FAC0016,FAC0001,Sarguja,Chhattisgarh,3.34
FAC0016,FAC0002,Sarguja,Chhattisgarh,3.35
FAC0016,FAC0003,Sarguja,Chhattisgarh,2.76
FAC0016,FAC0004,Sarguja,Chhattisgarh,5.14
FAC0016,FAC0005,Sarguja,Chhattisgarh,18.77
FAC0016,FAC0006,Sarguja,Chhattisgarh,5.37
FAC0016,FAC0007,Sarguja,Chhattisgarh,4.82
FAC0016,FAC0008,Sarguja,Chhattisgarh,4.92
FAC0016,FAC0009,Sarguja,Chhattisgarh,20.75
FAC0016,FAC0010,Sarguja,Chhattisgarh,27.88
FAC0016,FAC0011,Sarguja,Chhattisgarh,31.81
FAC0016,FAC0012,Sarguja,Chhattisgarh,17.24
FAC0016,FAC0013,Sarguja,Chhattisgarh,5.09
FAC0016,FAC0014,Sarguja,Chhattisgarh,3.7
FAC0016,FAC0015,Sarguja,Chhattisgarh,2.78
